"","score","gdp_per_capita","social_support","healthy_life_expectancy","freedom_life_choices","generosity","perceptions_of_corruption"
"Lesotho2",3.808,0.472,1.215,0.079,0.423,0.116,0.112
"Angola3",3.795,0.73,1.125,0.269,0,0.079,0.061
"Madagascar3",3.774,0.262,0.908,0.402,0.221,0.155,0.049
"Zimbabwe3",3.692,0.357,1.094,0.248,0.406,0.132,0.099
"Afghanistan3",3.632,0.332,0.537,0.255,0.085,0.191,0.036
"Botswana3",3.59,1.017,1.174,0.417,0.557,0.042,0.092
"Malawi3",3.587,0.186,0.541,0.306,0.531,0.21,0.08
"Haiti3",3.582,0.315,0.714,0.289,0.025,0.392,0.104
"Liberia3",3.495,0.076,0.858,0.267,0.419,0.206,0.03
"Syria3",3.462,0.689,0.382,0.539,0.088,0.376,0.144
"Rwanda3",3.408,0.332,0.896,0.4,0.636,0.2,0.444
"Yemen3",3.355,0.442,1.073,0.343,0.244,0.083,0.064
"Tanzania3",3.303,0.455,0.991,0.381,0.481,0.27,0.097
"South Sudan2",3.254,0.337,0.608,0.177,0.112,0.224,0.106
"Central African Republic2",3.083,0.024,0,0.01,0.305,0.218,0.038
"Burundi3",2.905,0.091,0.627,0.145,0.065,0.149,0.076
